num_stim,match,zero_back_outer_loop.thisRepN,zero_back_outer_loop.thisTrialN,zero_back_outer_loop.thisN,zero_back_outer_loop.thisIndex,zero_back_loop.thisRepN,zero_back_loop.thisTrialN,zero_back_loop.thisN,zero_back_loop.thisIndex,one_back_outer_loop.thisRepN,one_back_outer_loop.thisTrialN,one_back_outer_loop.thisN,one_back_outer_loop.thisIndex,one_back_loop.thisRepN,one_back_loop.thisTrialN,one_back_loop.thisN,one_back_loop.thisIndex,two_back_outer_loop.thisRepN,two_back_outer_loop.thisTrialN,two_back_outer_loop.thisN,two_back_outer_loop.thisIndex,two_back_loop.thisRepN,two_back_loop.thisTrialN,two_back_loop.thisN,two_back_loop.thisIndex,instructions_text.started,instructions_text.stopped,instructions_resp.keys,instructions_resp.rt,instructions_resp.started,instructions_resp.stopped,zero_back_prompt_text.started,zero_back_prompt_text.stopped,zero_back_num_stim.started,zero_back_num_stim.stopped,zero_back_resp.keys,zero_back_resp.corr,zero_back_resp.started,zero_back_resp.stopped,inter_stimuli_interval_text.started,inter_stimuli_interval_text.stopped,one_back_prompt_text.started,one_back_prompt_text.stopped,one_back_num_stim.started,one_back_num_stim.stopped,one_back_resp.keys,one_back_resp.corr,one_back_resp.started,one_back_resp.stopped,two_back_prompt_text.started,two_back_prompt_text.stopped,two_back_num_stim.started,two_back_num_stim.stopped,two_back_resp.keys,two_back_resp.corr,two_back_resp.started,two_back_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
2,None,1,0,1,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,127.84864159999415,None,None,1,127.84864159999415,None,128.34251669998048,None,,,,,,,,,,,,,,,,,g,001,2022_Feb_10_1013,n_back,2021.2.3,144.01958663855805,
1,None,1,0,1,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,130.8480678999913,None,None,1,130.8480678999913,None,131.34183419999317,None,,,,,,,,,,,,,,,,,g,001,2022_Feb_10_1013,n_back,2021.2.3,144.01958663855805,
0,None,1,0,1,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,133.84747340000467,None,None,1,133.84747340000467,None,134.3552977000072,None,,,,,,,,,,,,,,,,,g,001,2022_Feb_10_1013,n_back,2021.2.3,144.01958663855805,
9,['space'],1,0,1,0,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,136.8469162999827,None,None,0,136.8469162999827,None,137.34772910000174,None,,,,,,,,,,,,,,,,,g,001,2022_Feb_10_1013,n_back,2021.2.3,144.01958663855805,
,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,001,2022_Feb_10_1013,n_back,2021.2.3,144.01958663855805,
6,None,2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,139.85327259998303,None,None,1,139.85327259998303,None,140.34710809998796,None,,,,,,,,,,,,,,,,,g,001,2022_Feb_10_1013,n_back,2021.2.3,144.01958663855805,
7,None,2,0,2,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,142.85271049998119,None,None,1,142.85271049998119,None,143.34665619998123,None,,,,,,,,,,,,,,,,,g,001,2022_Feb_10_1013,n_back,2021.2.3,144.01958663855805,
5,None,2,0,2,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,145.85218819999136,None,None,1,145.85218819999136,None,146.35289119998924,None,,,,,,,,,,,,,,,,,g,001,2022_Feb_10_1013,n_back,2021.2.3,144.01958663855805,
0,None,2,0,2,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,148.85149749999982,None,None,1,148.85149749999982,None,149.3454813999997,None,,,,,,,,,,,,,,,,,g,001,2022_Feb_10_1013,n_back,2021.2.3,144.01958663855805,
5,None,2,0,2,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,151.850989700004,None,None,1,151.850989700004,None,152.34459960000822,None,,,,,,,,,,,,,,,,,g,001,2022_Feb_10_1013,n_back,2021.2.3,144.01958663855805,
